loan_id,as_of_month,ending_balance,scheduled_payment,actual_payment,dpd,region,product_type,fico_score,secured_flag
L100143,2024-01-31,13503.36,540.77,540.77,0,Northeast,Home Improvement,732,0
L100144,2024-01-31,1084.43,548.31,548.31,0,Midwest,Personal Loan,647,0
L100145,2024-01-31,11195.55,589.63,589.63,0,Northeast,Auto Loan,760,1
L100146,2024-01-31,3111.35,631.64,631.64,0,South,Auto Loan,746,1
L100147,2024-01-31,963.23,486.31,486.31,0,Northeast,Personal Loan,728,0
L100148,2024-01-31,16442.47,728.74,728.74,0,South,Auto Loan,797,1
L100149,2024-01-31,643.3,217.51,217.51,0,Midwest,Personal Loan,672,0
L100150,2024-01-31,6091.95,356.45,356.45,0,South,Auto Loan,681,1
L100151,2024-01-31,12817.23,644.47,644.47,0,West,Auto Loan,762,1
L100152,2024-01-31,9121.16,792.59,792.59,0,South,Personal Loan,755,0
L100153,2024-01-31,7938.13,313.99,313.99,0,West,Personal Loan,669,0
L100154,2024-01-31,14574.52,390.79,390.79,0,West,Auto Loan,671,1
L100155,2024-01-31,6344.11,418.77,418.77,0,West,Personal Loan,732,0
L100156,2024-01-31,5458.53,202.81,202.81,0,Northeast,Personal Loan,671,0
L100157,2024-01-31,8549.7,503.01,452.71,0,Northeast,Personal Loan,702,0
L100158,2024-01-31,21704.16,761.17,761.17,0,West,Auto Loan,697,1
L100159,2024-01-31,15671.24,543.77,2292.26,0,Midwest,Auto Loan,747,1
L100160,2024-01-31,6682.38,303.39,303.39,0,South,Personal Loan,684,0
L100161,2024-01-31,3348.84,847.7,847.7,0,Northeast,Auto Loan,752,1
L100162,2024-01-31,3212.29,550.16,550.16,0,South,Personal Loan,620,0
L100163,2024-01-31,12573.35,373.07,373.07,0,Northeast,Auto Loan,736,1
L100164,2024-01-31,5542.59,148.16,148.16,0,South,Personal Loan,740,0
L100165,2024-01-31,13701.11,530.79,477.71,0,South,Auto Loan,647,1
L100166,2024-01-31,12988.48,416.95,416.95,0,Northeast,Personal Loan,711,0
L100167,2024-01-31,21068.8,820.31,738.28,0,West,Auto Loan,620,1
L100168,2024-01-31,9042.98,324.43,291.99,0,Northeast,Personal Loan,681,0
L100169,2024-01-31,4418.46,289.64,289.64,0,Northeast,Home Improvement,728,0
L100170,2024-01-31,0.0,441.08,441.09,0,West,Personal Loan,728,0
L100171,2024-01-31,341.41,343.63,343.63,0,Northeast,Personal Loan,735,0
L100172,2024-01-31,8063.6,221.92,221.92,0,Northeast,Home Improvement,704,0
L100173,2024-01-31,13078.33,907.34,889.19,0,West,Auto Loan,705,1
L100174,2024-01-31,7397.94,260.08,234.07,0,South,Personal Loan,643,0
L100175,2024-01-31,9062.62,355.06,355.06,0,South,Personal Loan,727,0
L100176,2024-01-31,15438.45,539.56,566.54,0,Midwest,Personal Loan,696,0
L100177,2024-01-31,730.56,247.12,247.12,0,West,Personal Loan,655,0
L100178,2024-01-31,4804.29,499.14,499.14,0,Northeast,Personal Loan,682,0
L100179,2024-01-31,2787.42,286.12,257.51,0,West,Personal Loan,706,0
L100180,2024-01-31,3673.07,622.94,622.94,0,South,Auto Loan,755,1
L100181,2024-01-31,629.33,128.52,128.52,0,Northeast,Personal Loan,683,0
L100182,2024-01-31,6940.67,428.4,428.4,0,West,Auto Loan,690,1
L100183,2024-01-31,3405.89,578.96,578.96,0,Northeast,Home Improvement,728,0
L100184,2024-01-31,5049.66,568.72,511.85,0,South,Auto Loan,760,1
L100185,2024-01-31,10122.54,246.88,246.88,0,West,Auto Loan,758,1
L100186,2024-01-31,2536.08,855.33,855.33,0,South,Auto Loan,654,1
L100187,2024-01-31,8281.66,407.33,366.6,0,Northeast,Personal Loan,652,0
L100188,2024-01-31,10020.86,695.09,695.09,0,Northeast,Auto Loan,731,1
L100189,2024-01-31,3490.37,207.59,207.59,0,South,Personal Loan,662,0
L100190,2024-01-31,2873.48,171.32,171.32,0,West,Personal Loan,642,0
L100191,2024-01-31,3476.82,510.58,536.11,0,South,Auto Loan,713,1
L100192,2024-01-31,3245.22,476.39,500.21,0,Northeast,Auto Loan,766,1
L100193,2024-01-31,10256.71,391.02,383.2,0,Midwest,Personal Loan,692,0
L100194,2024-01-31,357.44,352.67,345.62,0,Midwest,Personal Loan,722,0
L100195,2024-01-31,8937.29,412.34,404.09,0,Northeast,Auto Loan,714,1
L100196,2024-01-31,1609.58,167.41,167.41,0,South,Personal Loan,667,0
L100197,2024-01-31,492.27,495.61,495.61,0,Midwest,Personal Loan,700,0
L100198,2024-01-31,6328.78,726.25,726.25,0,Midwest,Personal Loan,727,0
L100199,2024-01-31,10264.02,324.77,324.77,0,South,Personal Loan,666,0
L100200,2024-01-31,17027.04,819.24,819.24,0,South,Auto Loan,765,1
L100201,2024-01-31,5906.18,211.79,211.79,0,South,Personal Loan,701,0
L100202,2024-01-31,1962.96,136.81,123.13,0,Midwest,Personal Loan,746,0
L100203,2024-01-31,12388.02,459.25,459.25,0,South,Home Improvement,620,0
L100204,2024-01-31,8345.65,618.71,618.71,0,South,Auto Loan,727,1
L100205,2024-01-31,0.0,388.87,388.87,0,West,Personal Loan,620,0
L100206,2024-01-31,7319.18,393.12,393.12,0,Midwest,Personal Loan,689,0
L100207,2024-01-31,10224.65,521.04,468.94,0,Midwest,Personal Loan,703,0
L100208,2024-01-31,13749.0,336.78,336.78,0,South,Home Improvement,693,0
L100209,2024-01-31,4142.5,219.31,197.38,0,South,Home Improvement,693,0
L100210,2024-01-31,0.0,300.64,300.64,0,Northeast,Home Improvement,769,0
L100211,2024-01-31,8690.32,330.28,330.28,0,Northeast,Personal Loan,712,0
L100212,2024-01-31,6.47,323.94,317.46,0,Midwest,Personal Loan,775,0
L100213,2024-01-31,4462.12,330.34,297.31,0,Northeast,Home Improvement,709,0
L100214,2024-01-31,9363.27,617.25,604.9,0,Northeast,Personal Loan,737,0
L100215,2024-01-31,8801.9,613.75,613.75,0,Midwest,Home Improvement,738,0
L100216,2024-01-31,5905.6,175.75,158.18,0,West,Personal Loan,711,0
L100217,2024-01-31,4526.9,280.07,280.07,0,Northeast,Home Improvement,720,0
L100218,2024-01-31,9338.39,314.39,251.51,72,Midwest,Auto Loan,759,1
L100219,2024-01-31,3278.82,672.46,706.08,0,South,Auto Loan,758,1
L100220,2024-01-31,300.34,318.31,334.23,0,West,Personal Loan,788,0
L100221,2024-01-31,11412.69,431.16,215.58,59,Midwest,Auto Loan,700,1
L100222,2024-01-31,640.96,322.89,322.89,0,West,Auto Loan,756,1
L100223,2024-01-31,11870.15,437.92,437.92,0,Midwest,Personal Loan,707,0
L100224,2024-01-31,9547.13,590.67,590.67,0,Midwest,Home Improvement,732,0
L100225,2024-01-31,9831.75,268.25,268.25,0,Northeast,Personal Loan,767,0
L100226,2024-01-31,12412.51,446.59,446.59,52,Midwest,Auto Loan,758,1
L100227,2024-01-31,7008.43,899.5,899.5,0,South,Auto Loan,652,1
L100228,2024-01-31,4353.17,503.88,529.07,0,West,Personal Loan,676,0
L100229,2024-01-31,6634.38,767.67,806.05,0,West,Personal Loan,681,0
L100230,2024-01-31,717.69,707.15,693.01,0,West,Auto Loan,712,1
L100231,2024-01-31,893.81,302.42,302.42,0,Northeast,Personal Loan,645,0
L100232,2024-01-31,12226.43,440.34,0.0,34,West,Personal Loan,680,0
L100233,2024-01-31,13239.2,536.21,536.21,0,South,Personal Loan,755,0
L100234,2024-01-31,6458.82,555.97,544.85,0,South,Auto Loan,698,1
L100235,2024-01-31,5474.94,190.71,190.71,0,Northeast,Personal Loan,704,0
L100236,2024-01-31,23418.72,606.62,606.62,0,Midwest,Auto Loan,738,1
L100237,2024-01-31,46.14,461.34,415.21,0,Northeast,Personal Loan,633,0
L100238,2024-01-31,9263.15,449.79,449.79,0,West,Home Improvement,709,0
L100239,2024-01-31,7374.81,224.36,224.36,0,Northeast,Auto Loan,729,1
L100240,2024-01-31,3955.65,170.14,170.14,0,Midwest,Home Improvement,755,0
L100241,2024-01-31,10017.73,393.94,393.94,0,Northeast,Personal Loan,700,0
L100242,2024-01-31,6044.84,626.31,626.31,0,West,Personal Loan,734,0
L100243,2024-01-31,2664.37,136.18,136.18,0,West,Personal Loan,718,0
L100244,2024-01-31,5641.13,349.4,314.46,0,West,Personal Loan,750,0
L100245,2024-01-31,2763.79,354.34,354.34,0,Northeast,Home Improvement,745,0
L100246,2024-01-31,2768.23,167.37,83.68,46,South,Personal Loan,717,0
L100247,2024-01-31,2956.98,600.53,600.53,0,West,Auto Loan,710,1
L100248,2024-01-31,7500.93,346.05,346.05,0,South,Auto Loan,729,1
L100249,2024-01-31,2348.11,595.36,595.36,0,West,Home Improvement,757,0
L100250,2024-01-31,10222.14,598.96,598.96,0,Midwest,Home Improvement,722,0
L100251,2024-01-31,2987.48,167.47,164.12,0,Midwest,Personal Loan,758,0
L100252,2024-01-31,10359.64,384.05,403.25,0,South,Personal Loan,692,0
L100253,2024-01-31,1204.07,240.62,216.56,0,Midwest,Personal Loan,819,0
L100254,2024-01-31,819.52,548.82,274.41,53,West,Personal Loan,698,0
L100255,2024-01-31,4626.33,289.79,289.79,0,Midwest,Personal Loan,677,0
L100256,2024-01-31,2658.08,230.98,230.98,0,South,Personal Loan,779,0
L100257,2024-01-31,2027.04,191.36,187.53,0,Midwest,Personal Loan,708,0
L100258,2024-01-31,6609.29,295.56,295.56,0,West,Auto Loan,665,1
L100259,2024-01-31,4003.92,456.28,456.28,0,Midwest,Auto Loan,713,1
L100260,2024-01-31,6538.34,240.65,240.65,0,Midwest,Personal Loan,719,0
L100261,2024-01-31,9577.56,282.01,282.01,0,West,Personal Loan,675,0
L100262,2024-01-31,4873.34,325.56,341.84,0,West,Personal Loan,642,0
L100263,2024-01-31,16078.85,457.27,457.27,0,South,Home Improvement,662,0
L100264,2024-01-31,20946.87,1012.85,1012.85,0,Northeast,Auto Loan,687,1
L100265,2024-01-31,2319.01,118.77,118.77,0,West,Personal Loan,704,0
L100266,2024-01-31,4648.26,195.7,191.79,0,West,Personal Loan,691,0
L100267,2024-01-31,1182.24,241.39,241.39,0,Midwest,Personal Loan,687,0
L100268,2024-01-31,1721.87,219.54,215.15,0,West,Auto Loan,771,1
L100269,2024-01-31,5987.23,221.33,221.33,0,West,Personal Loan,697,0
L100270,2024-01-31,12891.19,270.08,270.08,0,West,Personal Loan,694,0
L100271,2024-01-31,6779.21,422.51,422.51,0,South,Personal Loan,762,0
L100272,2024-01-31,3860.49,493.48,493.48,0,West,Auto Loan,737,1
L100273,2024-01-31,1138.83,384.21,384.21,0,South,Home Improvement,692,0
L100274,2024-01-31,4.61,230.58,225.97,0,Midwest,Personal Loan,743,0
L100275,2024-01-31,0.0,251.48,251.48,0,West,Home Improvement,704,0
L100276,2024-01-31,7407.26,266.5,266.5,0,South,Auto Loan,729,1
L100277,2024-01-31,17.34,173.39,156.05,0,West,Personal Loan,757,0
L100278,2024-01-31,21301.37,540.53,540.53,0,Midwest,Auto Loan,752,1
L100279,2024-01-31,1823.39,233.91,233.91,0,West,Home Improvement,710,0
L100280,2024-01-31,3793.99,435.02,435.02,0,West,Auto Loan,620,1
L100281,2024-01-31,8614.78,689.26,689.26,0,West,Home Improvement,723,0
L100282,2024-01-31,8496.08,876.12,876.12,0,West,Auto Loan,673,1
L100283,2024-01-31,3038.7,345.8,311.22,0,Northeast,Personal Loan,673,0
L100284,2024-01-31,12046.65,409.01,429.46,0,Midwest,Auto Loan,798,1
L100285,2024-01-31,1630.74,141.7,141.7,0,West,Personal Loan,779,0
L100286,2024-01-31,11525.82,542.26,488.03,0,Midwest,Personal Loan,676,0
L100287,2024-01-31,11483.52,635.07,635.07,0,West,Auto Loan,741,1
L100288,2024-01-31,4288.53,281.28,281.28,0,Midwest,Auto Loan,665,1
L100289,2024-01-31,22618.46,551.64,551.64,0,Midwest,Auto Loan,731,1
L100290,2024-01-31,14741.93,359.02,376.97,0,West,Home Improvement,657,0
L100291,2024-01-31,3110.43,622.17,559.95,0,West,Personal Loan,696,0
L100292,2024-01-31,2378.51,476.32,428.69,0,South,Personal Loan,666,0
L100293,2024-01-31,7785.34,513.9,513.9,0,South,Personal Loan,720,0
L100294,2024-01-31,2511.28,845.48,845.48,0,Midwest,Auto Loan,764,1
L100295,2024-01-31,2934.35,221.1,221.1,0,West,Personal Loan,667,0
L100296,2024-01-31,196.64,198.04,198.04,0,Northeast,Personal Loan,672,0
L100297,2024-01-31,5700.43,278.92,278.92,0,South,Personal Loan,747,0
L100298,2024-01-31,14850.08,714.49,714.49,0,West,Auto Loan,722,1
L100299,2024-01-31,3221.75,281.07,281.07,0,Midwest,Personal Loan,673,0
L100300,2024-01-31,9959.82,357.06,321.35,0,West,Auto Loan,737,1
L100301,2024-01-31,6809.08,545.29,545.29,0,West,Auto Loan,660,1
L100302,2024-01-31,3729.14,386.88,386.88,0,Midwest,Personal Loan,702,0
L100303,2024-01-31,2089.07,530.78,530.78,0,Northeast,Personal Loan,789,0
L100304,2024-01-31,5606.28,354.08,177.04,48,Midwest,Auto Loan,716,1
L100305,2024-01-31,3284.21,310.34,310.34,0,West,Personal Loan,764,0
L100306,2024-01-31,3591.14,289.69,289.69,0,West,Personal Loan,693,0
L100307,2024-01-31,7424.32,218.31,229.23,0,Midwest,Personal Loan,686,0
L100308,2024-01-31,2899.82,107.42,107.42,0,West,Personal Loan,686,0
L100309,2024-01-31,7669.14,355.54,355.54,0,Midwest,Auto Loan,689,1
L100310,2024-01-31,3190.14,300.35,300.35,0,Midwest,Home Improvement,704,0
L100311,2024-01-31,7984.17,223.24,223.24,0,West,Personal Loan,707,0
L100312,2024-01-31,8686.08,487.46,487.46,0,Northeast,Personal Loan,792,0
L100313,2024-01-31,64.69,646.81,582.13,0,South,Home Improvement,707,0
L100314,2024-01-31,13401.95,571.92,571.92,45,West,Auto Loan,717,1
L100315,2024-01-31,18858.36,611.37,611.37,52,Northeast,Home Improvement,804,0
L100316,2024-01-31,9634.51,444.49,444.49,0,Midwest,Auto Loan,724,1
L100317,2024-01-31,6385.27,269.75,283.24,0,Northeast,Personal Loan,689,0
L100318,2024-01-31,1291.09,650.39,650.39,0,Midwest,Auto Loan,759,1
L100319,2024-01-31,11339.34,839.41,822.62,0,Northeast,Auto Loan,740,1
L100320,2024-01-31,7121.01,183.99,183.99,0,South,Personal Loan,702,0
L100321,2024-01-31,10342.71,556.31,556.31,0,Northeast,Personal Loan,678,0
L100322,2024-01-31,3842.27,334.55,334.55,0,South,Personal Loan,696,0
L100323,2024-01-31,6593.09,352.24,345.2,0,South,Personal Loan,771,0
L100324,2024-01-31,8271.17,237.92,1367.15,0,West,Personal Loan,708,0
L100325,2024-01-31,9586.69,380.45,380.45,0,West,Auto Loan,743,1
L100326,2024-01-31,15004.52,384.38,192.19,49,South,Personal Loan,687,0
L100327,2024-01-31,1602.89,406.52,406.52,0,West,Home Improvement,712,0
L100328,2024-01-31,4810.37,317.77,317.77,0,Midwest,Personal Loan,713,0
L100329,2024-01-31,10999.96,951.44,951.44,0,West,Auto Loan,662,1
L100330,2024-01-31,3140.52,177.43,177.43,0,West,Personal Loan,668,0
L100331,2024-01-31,1701.61,249.45,249.45,0,Northeast,Personal Loan,734,0
L100332,2024-01-31,12064.03,380.97,380.97,0,West,Home Improvement,748,0
L100333,2024-01-31,7725.9,207.23,207.23,0,Northeast,Home Improvement,724,0
L100334,2024-01-31,2236.83,179.11,161.2,0,Northeast,Personal Loan,686,0
L100335,2024-01-31,7615.79,358.74,358.74,0,Midwest,Personal Loan,699,0
L100336,2024-01-31,9708.52,489.19,440.27,0,Midwest,Home Improvement,732,0
L100337,2024-01-31,5471.92,470.95,470.95,0,Northeast,Auto Loan,735,1
L100338,2024-01-31,2037.14,518.3,518.3,0,South,Personal Loan,679,0
L100339,2024-01-31,876.58,442.56,442.56,0,South,Personal Loan,740,0
L100340,2024-01-31,6171.16,795.82,835.61,0,Northeast,Auto Loan,680,1
L100341,2024-01-31,5359.51,428.32,419.75,0,West,Auto Loan,665,1
L100342,2024-01-31,3922.2,576.83,576.83,0,Midwest,Personal Loan,659,0
L100343,2024-01-31,3768.16,953.84,953.84,0,South,Auto Loan,739,1
L100344,2024-01-31,1544.96,503.51,453.16,0,Midwest,Auto Loan,696,1
