loan_id,product_type,region,fico_score,orig_amount,interest_rate,term_months,secured_flag
L100095,Auto Loan,West,745,17128.52,0.06,36,1
L100096,Personal Loan,Midwest,687,14251.23,0.0833,48,0
L100097,Auto Loan,Midwest,760,9909.56,0.06,60,1
L100098,Personal Loan,Midwest,663,14363.15,0.0871,24,0
L100099,Home Improvement,Northeast,784,19856.97,0.068,60,0
L100100,Personal Loan,Northeast,708,16891.46,0.0799,36,0
L100101,Personal Loan,West,720,13655.19,0.078,48,0
L100102,Personal Loan,Northeast,716,5677.38,0.0786,60,0
L100103,Auto Loan,South,712,16051.35,0.0613,60,1
L100104,Personal Loan,Northeast,714,9378.42,0.079,36,0
L100105,Auto Loan,West,693,25270.27,0.0643,60,1
L100106,Personal Loan,South,633,17242.98,0.0919,48,0
L100107,Auto Loan,West,706,15585.15,0.0622,48,1
L100108,Auto Loan,West,734,26031.23,0.06,60,1
L100109,Auto Loan,West,677,22013.52,0.0669,36,1
L100110,Personal Loan,South,701,13986.42,0.081,36,0
L100111,Personal Loan,West,649,15561.59,0.0894,36,0
L100112,Personal Loan,West,712,11510.28,0.0793,60,0
L100113,Personal Loan,South,733,16868.23,0.078,60,0
L100114,Personal Loan,West,777,16052.15,0.078,48,0
L100115,Home Improvement,West,718,19394.59,0.0683,48,0
L100116,Auto Loan,South,697,22193.41,0.0637,24,1
L100117,Auto Loan,South,777,16289.56,0.06,36,1
L100118,Personal Loan,South,679,17878.63,0.0846,36,0
L100119,Personal Loan,Northeast,673,15806.69,0.0855,48,0
L100120,Auto Loan,West,664,10254.3,0.069,36,1
L100121,Personal Loan,South,664,16075.33,0.087,60,0
L100122,Personal Loan,Northeast,711,14804.35,0.0794,36,0
L100123,Home Improvement,West,749,11976.46,0.068,36,0
L100124,Auto Loan,Midwest,700,23056.2,0.0632,60,1
L100125,Auto Loan,West,695,12299.95,0.064,36,1
L100126,Auto Loan,Midwest,712,24460.33,0.0613,36,1
L100127,Auto Loan,Northeast,714,26469.77,0.061,36,1
L100128,Auto Loan,West,721,18250.66,0.06,36,1
L100129,Home Improvement,South,646,13653.15,0.0798,60,0
L100130,Personal Loan,South,796,17318.27,0.078,36,0
L100131,Auto Loan,West,704,26507.97,0.0626,36,1
L100132,Personal Loan,West,779,12131.83,0.078,48,0
L100133,Personal Loan,Northeast,724,9581.24,0.078,24,0
L100134,Auto Loan,South,702,11072.18,0.0629,48,1
L100135,Auto Loan,West,703,14918.41,0.0627,48,1
L100136,Auto Loan,South,718,21601.67,0.0603,60,1
L100137,Personal Loan,South,632,15800.22,0.0921,48,0
L100138,Home Improvement,West,713,7501.21,0.0691,48,0
L100139,Auto Loan,Midwest,724,18635.1,0.06,60,1
L100140,Auto Loan,South,690,17646.38,0.0648,36,1
L100141,Personal Loan,Midwest,643,8969.95,0.0903,36,0
L100142,Personal Loan,West,689,7788.65,0.083,36,0
L100143,Home Improvement,Northeast,732,18148.44,0.068,36,0
L100144,Personal Loan,Midwest,647,12361.7,0.0897,24,0
L100145,Auto Loan,Northeast,760,13170.47,0.06,24,1
L100146,Auto Loan,South,746,14298.43,0.06,24,1
L100147,Personal Loan,Northeast,728,16009.57,0.078,36,0
L100148,Auto Loan,South,797,24192.8,0.06,36,1
L100149,Personal Loan,Midwest,672,8915.73,0.0857,48,0
L100150,Auto Loan,South,681,11284.44,0.0662,36,1
L100151,Auto Loan,West,762,27371.85,0.06,48,1
L100152,Personal Loan,South,755,17584.48,0.078,24,0
L100153,Personal Loan,West,669,15025.97,0.0862,60,0
L100154,Auto Loan,West,671,16557.5,0.0678,48,1
L100155,Personal Loan,West,732,13716.92,0.078,36,0
L100156,Personal Loan,Northeast,671,9618.36,0.0858,60,0
L100157,Personal Loan,Northeast,702,16696.27,0.0809,36,0
L100158,Auto Loan,West,697,25409.56,0.0637,36,1
L100159,Auto Loan,Midwest,747,23219.78,0.06,48,1
L100160,Personal Loan,South,684,9976.9,0.0838,36,0
L100161,Auto Loan,Northeast,752,18932.69,0.06,24,1
L100162,Personal Loan,South,620,16936.87,0.094,36,0
L100163,Auto Loan,Northeast,736,18855.81,0.06,60,1
L100164,Personal Loan,South,740,7556.57,0.078,60,0
L100165,Auto Loan,South,647,17402.11,0.0717,36,1
L100166,Personal Loan,Northeast,711,17472.43,0.0794,48,0
L100167,Auto Loan,West,620,25955.2,0.076,36,1
L100168,Personal Loan,Northeast,681,16343.33,0.0842,60,0
L100169,Home Improvement,Northeast,728,12465.08,0.068,48,0
L100170,Personal Loan,West,728,9968.62,0.078,24,0
L100171,Personal Loan,Northeast,735,7495.6,0.078,24,0
L100172,Home Improvement,Northeast,704,9520.72,0.0706,48,0
L100173,Auto Loan,West,705,20154.36,0.0624,24,1
L100174,Personal Loan,South,643,10608.94,0.0903,48,0
L100175,Personal Loan,South,727,11790.37,0.078,36,0
L100176,Personal Loan,Midwest,696,17341.93,0.0818,36,0
L100177,Personal Loan,West,655,5308.14,0.0884,24,0
L100178,Personal Loan,Northeast,682,16077.73,0.0841,36,0
L100179,Personal Loan,West,706,11974.61,0.0802,48,0
L100180,Auto Loan,South,755,27466.83,0.06,48,1
L100181,Personal Loan,Northeast,683,5216.9,0.0839,48,0
L100182,Auto Loan,West,690,17972.03,0.0648,48,1
L100183,Home Improvement,Northeast,728,13403.08,0.068,24,0
L100184,Auto Loan,South,760,24138.62,0.06,48,1
L100185,Auto Loan,West,758,12835.54,0.06,60,1
L100186,Auto Loan,South,654,19787.28,0.0706,24,1
L100187,Personal Loan,Northeast,652,17001.85,0.0889,48,0
L100188,Auto Loan,Northeast,731,22835.77,0.06,36,1
L100189,Personal Loan,South,662,8256.57,0.0873,48,0
L100190,Personal Loan,West,642,5404.37,0.0905,36,0
L100191,Auto Loan,South,713,21859.62,0.0611,48,1
L100192,Auto Loan,Northeast,766,25629.15,0.06,60,1
L100193,Personal Loan,Midwest,692,12353.26,0.0825,36,0
L100194,Personal Loan,Midwest,722,11243.38,0.078,36,0
L100195,Auto Loan,Northeast,714,13694.25,0.061,36,1
L100196,Personal Loan,South,667,5350.33,0.0865,36,0
L100197,Personal Loan,Midwest,700,15973.13,0.0812,36,0
L100198,Personal Loan,Midwest,727,16284.72,0.078,24,0
L100199,Personal Loan,South,666,13657.9,0.0866,48,0
L100200,Auto Loan,South,765,26434.16,0.06,36,1
L100201,Personal Loan,South,701,8410.86,0.081,48,0
L100202,Personal Loan,Midwest,746,5507.02,0.078,48,0
L100203,Home Improvement,South,620,18587.55,0.084,48,0
L100204,Auto Loan,South,727,20287.59,0.06,36,1
L100205,Personal Loan,West,620,8543.57,0.094,24,0
L100206,Personal Loan,Midwest,689,9014.96,0.083,24,0
L100207,Personal Loan,Midwest,703,16780.05,0.0807,36,0
L100208,Home Improvement,South,693,17090.49,0.0723,60,0
L100209,Home Improvement,South,693,7340.37,0.0723,36,0
L100210,Home Improvement,Northeast,769,15160.45,0.068,60,0
L100211,Personal Loan,Northeast,712,10453.42,0.0793,36,0
L100212,Personal Loan,Midwest,775,10713.07,0.078,36,0
L100213,Home Improvement,Northeast,709,7666.43,0.0698,24,0
L100214,Personal Loan,Northeast,737,13482.81,0.078,24,0
L100215,Home Improvement,Midwest,738,19852.57,0.068,36,0
L100216,Personal Loan,West,711,8771.58,0.0794,60,0
L100217,Home Improvement,Northeast,720,11897.39,0.068,48,0
L100218,Auto Loan,Midwest,759,13462.0,0.06,48,1
L100219,Auto Loan,South,758,22712.31,0.06,36,1
L100220,Personal Loan,West,788,12840.46,0.078,48,0
L100221,Auto Loan,Midwest,700,13726.52,0.0632,36,1
L100222,Auto Loan,West,756,13565.57,0.06,48,1
L100223,Personal Loan,Midwest,707,14000.66,0.0801,36,0
L100224,Home Improvement,Midwest,732,13078.67,0.068,24,0
L100225,Personal Loan,Northeast,767,11385.48,0.078,48,0
L100226,Auto Loan,Midwest,758,14764.14,0.06,36,1
L100227,Auto Loan,South,652,20188.21,0.0709,24,1
L100228,Personal Loan,West,676,10930.18,0.085,24,0
L100229,Personal Loan,West,681,16842.65,0.0842,24,0
L100230,Auto Loan,West,712,22787.31,0.0613,36,1
L100231,Personal Loan,Northeast,645,14324.81,0.09,60,0
L100232,Personal Loan,West,680,13943.98,0.0844,36,0
L100233,Personal Loan,South,755,17210.74,0.078,36,0
L100234,Auto Loan,South,698,18099.27,0.0635,36,1
L100235,Personal Loan,Northeast,704,6144.54,0.0806,36,0
L100236,Auto Loan,Midwest,738,26714.07,0.06,48,1
L100237,Personal Loan,Northeast,633,10043.12,0.0919,24,0
L100238,Home Improvement,West,709,10187.24,0.0698,24,0
L100239,Auto Loan,Northeast,729,9506.78,0.06,48,1
L100240,Home Improvement,Midwest,755,7296.22,0.068,48,0
L100241,Personal Loan,Northeast,700,13070.88,0.0812,36,0
L100242,Personal Loan,West,734,14334.79,0.078,24,0
L100243,Personal Loan,West,718,5733.86,0.0783,48,0
L100244,Personal Loan,West,750,17968.42,0.078,60,0
L100245,Home Improvement,Northeast,745,11675.62,0.068,36,0
L100246,Personal Loan,South,717,6764.63,0.0785,48,0
L100247,Auto Loan,West,710,13198.05,0.0616,24,1
L100248,Auto Loan,South,729,11055.94,0.06,36,1
L100249,Home Improvement,West,757,19074.95,0.068,36,0
L100250,Home Improvement,Midwest,722,18902.63,0.068,36,0
L100251,Personal Loan,Midwest,758,5254.09,0.078,36,0
L100252,Personal Loan,South,692,16103.78,0.0825,48,0
L100253,Personal Loan,Midwest,819,12386.07,0.078,60,0
L100254,Personal Loan,West,698,17736.5,0.0815,36,0
L100255,Personal Loan,Midwest,677,6376.91,0.0849,24,0
L100256,Personal Loan,South,779,9444.05,0.078,48,0
L100257,Personal Loan,Midwest,708,6279.29,0.0799,36,0
L100258,Auto Loan,West,665,9872.83,0.0688,36,1
L100259,Auto Loan,Midwest,713,15063.04,0.0611,36,1
L100260,Personal Loan,Midwest,719,9797.54,0.0782,48,0
L100261,Personal Loan,West,675,13524.48,0.0852,60,0
L100262,Personal Loan,West,642,13000.46,0.0905,48,0
L100263,Home Improvement,South,662,19133.28,0.0773,48,0
L100264,Auto Loan,Northeast,687,23173.86,0.0653,24,1
L100265,Personal Loan,West,704,5056.4,0.0806,48,0
L100266,Personal Loan,West,691,7875.72,0.0826,48,0
L100267,Personal Loan,Midwest,687,9649.37,0.0833,48,0
L100268,Auto Loan,West,771,11732.93,0.06,60,1
L100269,Personal Loan,West,697,11106.82,0.0817,60,0
L100270,Personal Loan,West,694,13466.58,0.0822,60,0
L100271,Personal Loan,South,762,13558.64,0.078,36,0
L100272,Auto Loan,West,737,21432.6,0.06,48,1
L100273,Home Improvement,South,692,12477.75,0.0725,36,0
L100274,Personal Loan,Midwest,743,7242.39,0.078,36,0
L100275,Home Improvement,West,704,12376.27,0.0706,60,0
L100276,Auto Loan,South,729,11336.84,0.06,48,1
L100277,Personal Loan,West,757,7349.56,0.078,48,0
L100278,Auto Loan,Midwest,752,22640.88,0.06,48,1
L100279,Home Improvement,West,710,7399.9,0.0696,36,0
L100280,Auto Loan,West,620,17544.43,0.076,48,1
L100281,Home Improvement,West,723,15929.11,0.068,24,0
L100282,Auto Loan,West,673,27706.06,0.0675,36,1
L100283,Personal Loan,Northeast,673,14309.21,0.0855,48,0
L100284,Auto Loan,Midwest,798,17687.51,0.06,48,1
L100285,Personal Loan,West,779,6982.61,0.078,60,0
L100286,Personal Loan,Midwest,676,16909.44,0.085,36,0
L100287,Auto Loan,West,741,20583.88,0.06,36,1
L100288,Auto Loan,Midwest,665,14682.73,0.0688,60,1
L100289,Auto Loan,Midwest,731,22921.44,0.06,48,1
L100290,Home Improvement,West,657,17717.05,0.0781,60,0
L100291,Personal Loan,West,696,14059.01,0.0818,24,0
L100292,Personal Loan,South,666,10639.25,0.0866,24,0
L100293,Personal Loan,South,720,11129.93,0.078,24,0
L100294,Auto Loan,Midwest,764,19718.22,0.06,24,1
L100295,Personal Loan,West,667,5043.06,0.0865,24,0
L100296,Personal Loan,Northeast,672,6526.14,0.0857,36,0
L100297,Personal Loan,South,747,13825.9,0.078,60,0
L100298,Auto Loan,West,722,23959.35,0.06,36,1
L100299,Personal Loan,Midwest,673,11337.35,0.0855,48,0
L100300,Auto Loan,West,737,15695.85,0.06,48,1
L100301,Auto Loan,West,660,18190.11,0.0696,36,1
L100302,Personal Loan,Midwest,702,12234.21,0.0809,36,0
L100303,Personal Loan,Northeast,789,11601.74,0.078,24,0
L100304,Auto Loan,Midwest,716,17826.48,0.0606,60,1
L100305,Personal Loan,West,764,9752.93,0.078,36,0
L100306,Personal Loan,West,693,11896.34,0.0823,48,0
L100307,Personal Loan,Midwest,686,9023.38,0.0834,48,0
L100308,Personal Loan,West,686,5407.97,0.0834,60,0
L100309,Auto Loan,Midwest,689,18921.04,0.065,60,1
L100310,Home Improvement,Midwest,704,12252.32,0.0706,48,0
L100311,Personal Loan,West,707,9161.87,0.0801,48,0
L100312,Personal Loan,Northeast,792,15345.36,0.078,36,0
L100313,Home Improvement,South,707,21145.89,0.0701,36,0
L100314,Auto Loan,West,717,25080.37,0.0605,48,1
L100315,Home Improvement,Northeast,804,19797.79,0.068,36,0
L100316,Auto Loan,Midwest,724,14705.83,0.06,36,1
L100317,Personal Loan,Northeast,689,8824.35,0.083,36,0
L100318,Auto Loan,Midwest,759,27793.78,0.06,48,1
L100319,Auto Loan,Northeast,740,27976.56,0.06,36,1
L100320,Personal Loan,South,702,7401.12,0.0809,48,0
L100321,Personal Loan,Northeast,678,17478.25,0.0847,36,0
L100322,Personal Loan,South,696,7639.66,0.0818,24,0
L100323,Personal Loan,South,771,11094.36,0.078,36,0
L100324,Personal Loan,West,708,10068.32,0.0799,48,0
L100325,Auto Loan,West,743,12526.53,0.06,36,1
L100326,Personal Loan,South,687,15330.37,0.0833,48,0
L100327,Home Improvement,West,712,17091.73,0.0693,48,0
L100328,Personal Loan,Midwest,713,15679.58,0.0791,60,0
L100329,Auto Loan,West,662,20899.03,0.0693,24,1
L100330,Personal Loan,West,668,7332.4,0.0863,48,0
L100331,Personal Loan,Northeast,734,5639.54,0.078,24,0
L100332,Home Improvement,West,748,19780.21,0.068,60,0
L100333,Home Improvement,Northeast,724,8731.19,0.068,48,0
L100334,Personal Loan,Northeast,686,9117.04,0.0834,60,0
L100335,Personal Loan,Midwest,699,15078.52,0.0814,48,0
L100336,Home Improvement,Midwest,732,21080.01,0.068,48,0
L100337,Auto Loan,Northeast,735,10553.1,0.06,24,1
L100338,Personal Loan,South,679,16288.83,0.0846,36,0
L100339,Personal Loan,South,740,13936.08,0.078,36,0
L100340,Auto Loan,Northeast,680,17406.58,0.0664,24,1
L100341,Auto Loan,West,665,17966.73,0.0688,48,1
L100342,Personal Loan,Midwest,659,13066.74,0.0878,24,0
L100343,Auto Loan,South,739,21828.34,0.06,24,1
L100344,Auto Loan,Midwest,696,21496.55,0.0638,48,1
L100345,Auto Loan,West,623,25531.1,0.0755,36,1
L100346,Personal Loan,Midwest,694,10988.14,0.0822,60,0
L100347,Personal Loan,Northeast,730,15859.74,0.078,36,0
L100348,Auto Loan,South,727,27436.93,0.06,36,1
L100349,Auto Loan,Northeast,787,9391.06,0.06,48,1
L100350,Home Improvement,Midwest,661,20071.8,0.0774,48,0
L100351,Auto Loan,West,785,16912.76,0.06,36,1
L100352,Personal Loan,South,754,5815.34,0.078,24,0
L100353,Auto Loan,West,648,21085.68,0.0715,36,1
L100354,Home Improvement,West,726,13040.68,0.068,48,0
L100355,Personal Loan,West,732,15201.07,0.078,48,0
L100356,Home Improvement,West,681,19465.87,0.0742,48,0
L100357,Personal Loan,Northeast,716,17488.04,0.0786,48,0
L100358,Personal Loan,West,688,13916.7,0.0831,36,0
L100359,Personal Loan,Northeast,745,8578.57,0.078,24,0
L100360,Personal Loan,Midwest,662,9384.94,0.0873,48,0
L100361,Personal Loan,South,701,13820.38,0.081,60,0
L100362,Home Improvement,Midwest,694,9071.21,0.0722,36,0
L100363,Auto Loan,Midwest,679,12482.38,0.0666,60,1
L100364,Personal Loan,Midwest,701,10449.73,0.081,48,0
L100365,Personal Loan,Northeast,699,15168.07,0.0814,36,0
L100366,Home Improvement,Northeast,703,9379.15,0.0707,60,0
L100367,Auto Loan,West,734,22779.5,0.06,36,1
L100368,Personal Loan,South,698,10389.28,0.0815,36,0
L100369,Personal Loan,Midwest,718,12774.33,0.0783,36,0
L100370,Home Improvement,Midwest,755,7919.24,0.068,60,0
L100371,Auto Loan,South,752,22785.75,0.06,60,1
L100372,Auto Loan,Northeast,736,10334.88,0.06,48,1
L100373,Personal Loan,West,759,15718.95,0.078,48,0
L100374,Home Improvement,Northeast,700,14845.79,0.0712,48,0
L100375,Personal Loan,West,620,8263.63,0.094,24,0
L100376,Home Improvement,South,709,8869.1,0.0698,48,0
L100377,Personal Loan,Northeast,768,13596.04,0.078,24,0
L100378,Auto Loan,West,711,26770.15,0.0614,60,1
L100379,Auto Loan,South,682,26704.36,0.0661,60,1
L100380,Personal Loan,Northeast,703,17616.7,0.0807,60,0
L100381,Personal Loan,South,670,14166.15,0.086,48,0
L100382,Personal Loan,West,727,11070.12,0.078,48,0
L100383,Auto Loan,Northeast,712,14582.13,0.0613,48,1
L100384,Personal Loan,West,719,13747.58,0.0782,36,0
L100385,Auto Loan,West,701,11459.01,0.063,36,1
L100386,Home Improvement,South,713,21935.1,0.0691,36,0
L100387,Personal Loan,Midwest,721,13046.6,0.078,36,0
L100388,Auto Loan,West,733,17083.94,0.06,48,1
L100389,Auto Loan,West,736,17496.49,0.06,60,1
L100390,Auto Loan,South,665,15170.87,0.0688,36,1
L100391,Personal Loan,Northeast,719,14149.85,0.0782,36,0
L100392,Personal Loan,Midwest,763,9114.19,0.078,36,0
L100393,Personal Loan,Northeast,668,16342.78,0.0863,36,0
L100394,Auto Loan,West,693,19324.53,0.0643,36,1
L100395,Personal Loan,South,736,16932.88,0.078,48,0
L100396,Personal Loan,West,679,13176.18,0.0846,60,0
L100397,Personal Loan,Northeast,651,16009.69,0.089,24,0
L100398,Auto Loan,Midwest,765,22116.44,0.06,24,1
L100399,Home Improvement,Northeast,818,12056.82,0.068,36,0
L100400,Auto Loan,West,794,10648.68,0.06,48,1
L100401,Auto Loan,South,745,18310.15,0.06,36,1
L100402,Personal Loan,South,700,12872.9,0.0812,36,0
L100403,Home Improvement,West,728,16046.09,0.068,60,0
L100404,Personal Loan,Midwest,667,10422.06,0.0865,24,0
L100405,Auto Loan,Midwest,681,22510.76,0.0662,48,1
L100406,Auto Loan,Northeast,740,17746.19,0.06,36,1
L100407,Personal Loan,Midwest,722,14902.03,0.078,24,0
L100408,Personal Loan,Midwest,713,16457.18,0.0791,36,0
L100409,Auto Loan,Northeast,629,23943.49,0.0746,48,1
L100410,Personal Loan,Midwest,739,10533.51,0.078,60,0
L100411,Personal Loan,Northeast,686,5357.21,0.0834,36,0
L100412,Auto Loan,West,759,19712.51,0.06,24,1
L100413,Personal Loan,Northeast,672,13057.06,0.0857,24,0
L100414,Home Improvement,South,696,18381.73,0.0718,36,0
L100415,Auto Loan,South,786,13284.13,0.06,24,1
L100416,Personal Loan,South,754,14384.99,0.078,24,0
L100417,Personal Loan,Midwest,712,10021.54,0.0793,48,0
L100418,Personal Loan,West,699,17974.02,0.0814,36,0
L100419,Personal Loan,West,696,13920.1,0.0818,24,0
L100420,Home Improvement,South,704,15728.73,0.0706,36,0
L100421,Personal Loan,Midwest,712,8026.07,0.0793,48,0
L100422,Auto Loan,Northeast,753,14406.04,0.06,36,1
L100423,Auto Loan,Midwest,711,25276.74,0.0614,36,1
L100424,Personal Loan,Midwest,741,16027.16,0.078,48,0
L100425,Personal Loan,South,727,7282.49,0.078,48,0
L100426,Home Improvement,South,676,12760.62,0.075,60,0
L100427,Personal Loan,Northeast,688,5813.2,0.0831,48,0
L100428,Personal Loan,South,639,6227.03,0.091,48,0
L100429,Auto Loan,West,739,10157.75,0.06,48,1
L100430,Personal Loan,Midwest,679,8988.96,0.0846,24,0
L100431,Personal Loan,Northeast,717,17392.62,0.0785,48,0
L100432,Personal Loan,Midwest,645,16477.49,0.09,48,0
L100433,Home Improvement,Midwest,782,19802.81,0.068,36,0
L100434,Auto Loan,Northeast,728,18930.07,0.06,60,1
L100435,Auto Loan,Northeast,647,9786.11,0.0717,36,1
L100436,Personal Loan,West,652,7084.79,0.0889,24,0
L100437,Auto Loan,Northeast,737,10623.88,0.06,36,1
L100438,Auto Loan,South,786,22611.58,0.06,48,1
L100439,Auto Loan,West,670,19818.01,0.068,48,1
L100440,Auto Loan,Midwest,735,12618.8,0.06,24,1
L100441,Personal Loan,West,738,13879.53,0.078,60,0
L100442,Auto Loan,South,767,9314.09,0.06,36,1
L100443,Auto Loan,West,620,15302.93,0.076,36,1
L100444,Auto Loan,Northeast,649,13869.45,0.0714,36,1
L100445,Personal Loan,West,680,7862.46,0.0844,36,0
L100446,Auto Loan,Northeast,712,9387.23,0.0613,36,1
L100447,Home Improvement,West,745,17320.19,0.068,24,0
L100448,Personal Loan,South,724,7667.87,0.078,36,0
L100449,Personal Loan,Midwest,718,5848.21,0.0783,48,0
L100450,Auto Loan,South,731,25817.37,0.06,48,1
L100451,Auto Loan,West,689,26498.97,0.065,48,1
L100452,Auto Loan,Midwest,717,22133.22,0.0605,36,1
L100453,Personal Loan,West,727,13209.69,0.078,36,0
L100454,Personal Loan,Northeast,743,9967.17,0.078,24,0
L100455,Personal Loan,South,712,7474.13,0.0793,48,0
L100456,Auto Loan,West,743,22254.38,0.06,24,1
L100457,Auto Loan,Northeast,699,26720.66,0.0634,48,1
L100458,Home Improvement,Northeast,733,8782.59,0.068,48,0
L100459,Auto Loan,Northeast,685,26539.88,0.0656,24,1
L100460,Personal Loan,South,678,16708.22,0.0847,60,0
L100461,Personal Loan,Northeast,721,10155.28,0.078,24,0
L100462,Home Improvement,West,728,15693.55,0.068,48,0
L100463,Personal Loan,South,741,14878.59,0.078,36,0
L100464,Home Improvement,West,744,19933.39,0.068,24,0
L100465,Personal Loan,Midwest,689,8058.73,0.083,36,0
